model,testSet,shot,Acc,subject_No,stem,社科,人文,Avg_Hard,remark
math15k_ft1b1,Ceval_val,5,0.27,52,,,,,全科1k(val)
math15k_ft1b1,Ceval_val,5,0.24,2,,,,,初高中数学
math15k_ft1b1,Ceval_val,5,0.22,4,,,,,初高中大学数学
math15k_ft1b1,Ceval_val,5,0.36,3,,,,,法律相关
math15k_ft1b1,Ceval_test,5,0.266,52,0.272,0.259,0.264,0.272,全科12k(test)
bloom1b1,Ceval_test,5,0.259,52,0.261,0.248,0.257,0.26,全科12k(test)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
